Program,PTT,Satellite,Location date,Location class,Latitude,Longitude,Latitude solution 2,Longitude solution 2,Number of messages,Nbr mes > - 120 dB,Best level,Pass duration,NOPC,Location index,Frequency,Altitude,Error radius,Semi-major axis,Semi-minor axis,Ellipse orientation,GDOP,Message date,Compression index,1,2,3,4,5,6,7,8
6615,177846,MA,2/1/19 1:25,B,-33.368,-71.636,-33.368,-71.636,2,0,-133,49,3,8,401621699.5,0.113,7372,25743,2111,177,3523,2/1/19 1:25,0,0,,,,,,,
6615,177846,MC,2/1/19 1:58,B,-33.349,-71.64,-33.349,-71.64,1,0,-131,0,3,7,401621704.2,0.068,10513,17517,6309,178,5802,2/1/19 1:58,0,0,,,,,,,
6615,177846,MA,2/1/19 3:05,A,-33.371,-71.61,-33.371,-71.61,3,0,-131,152,3,8,401621712.2,0.189,346,1192,100,117,784,2/1/19 3:05,1,104,178,0,0,53,14,16,1
6615,177846,MC,2/1/19 3:44,B,-33.36,-71.612,-33.36,-71.612,2,0,-132,99,3,8,401621709.3,0.236,993,5301,186,78,2795,2/1/19 3:44,0,0,,,,,,,
6615,177846,NP,2/1/19 8:48,0,-33.356,-71.661,-33.356,-71.661,4,0,-138,151,3,58,401621702.9,0.028,1661,23408,117,99,1353,2/1/19 8:48,1,102,161,3,0,36,20,16,1
6615,177846,SR,2/1/19 11:48,B,-33.307,-71.717,-33.307,-71.717,1,0,-140,0,3,8,401621724.2,0,6652,9706,4558,54,7195,2/1/19 11:48,1,121,172,3,0,36,23,16,1
6615,177846,MA,2/1/19 14:24,0,-33.337,-71.672,-33.337,-71.672,4,0,-132,149,3,48,401621741,0,2560,7772,843,142,820,2/1/19 14:24,1,130,185,2,0,13,2,17,1
6615,177846,NP,2/1/19 21:14,B,-33.395,-71.644,-33.395,-71.644,2,0,-137,47,3,8,401621730.9,0.182,7651,74429,786,109,4244,2/1/19 21:13,1,118,199,2,0,6,9,17,1
6615,177846,MA,2/2/19 2:43,A,-33.366,-71.625,-33.366,-71.625,3,0,-129,299,3,8,401621732.3,0.093,159,262,96,66,285,2/2/19 2:48,0,0,,,,,,,
6615,177846,MC,2/2/19 3:21,B,-33.362,-71.631,-33.362,-71.631,2,0,-131,301,3,8,401621730.2,0.068,925,13304,64,36,2600,2/2/19 3:23,0,0,,,,,,,
6615,177846,NP,2/2/19 8:36,B,-33.339,-71.634,-33.339,-71.634,2,0,-136,51,3,8,401621730.2,0.111,1660,25218,109,86,4687,2/2/19 8:36,0,0,,,,,,,
6615,177846,MA,2/2/19 14:01,B,-33.311,-71.616,-33.311,-71.616,1,0,-133,0,3,8,401621723.2,0.268,3564,7586,1674,106,10076,2/2/19 14:01,0,0,,,,,,,
6615,177846,SR,2/2/19 22:32,A,-33.335,-71.624,-33.335,-71.624,3,0,-135,200,3,8,401621734.1,0.132,181,262,125,85,409,2/2/19 22:33,0,0,,,,,,,
6615,177846,MA,2/3/19 2:22,B,-33.36,-71.607,-33.36,-71.607,2,0,-128,48,3,8,401621694.8,0.243,2355,58066,95,77,6652,2/3/19 2:23,0,0,,,,,,,
6615,177846,MC,2/3/19 3:01,B,-33.358,-71.601,-33.358,-71.601,1,0,-136,0,2,8,401621698.1,0.137,2418,7204,811,82,6832,2/3/19 3:01,0,0,,,,,,,
6615,177846,MA,2/3/19 13:41,A,-33.378,-71.563,-33.378,-71.563,3,0,-131,302,3,8,401621736.6,0.28,331,1321,83,116,871,2/3/19 13:45,0,0,,,,,,,
6615,177846,MC,2/3/19 14:18,B,-33.384,-71.581,-33.384,-71.581,2,0,-132,52,2,8,401621682.1,0.225,1066,9542,119,101,2727,2/3/19 14:18,0,0,,,,,,,
6615,177846,NP,2/3/19 20:49,B,-33.31,-71.614,-33.31,-71.614,1,0,-138,0,3,8,401621699,0.279,3446,9145,1298,93,9744,2/3/19 20:49,0,0,,,,,,,
6615,177846,SR,2/3/19 22:02,A,-33.328,-71.692,-33.328,-71.692,3,0,-132,149,3,7,401621723.2,0,736,5206,103,94,738,2/3/19 22:02,1,120,198,1,0,9,10,19,1
6615,177846,NP,2/3/19 22:28,B,-33.322,-71.696,-33.322,-71.696,2,0,-140,49,3,6,401621673.6,0,1714,6961,422,73,2352,2/3/19 22:28,0,0,,,,,,,
6615,177846,SR,2/3/19 23:41,B,-33.366,-71.611,-33.366,-71.611,2,0,-139,50,3,6,401621726.1,0.213,4193,9219,1906,10,3440,2/3/19 23:40,0,0,,,,,,,
6615,177846,MA,2/4/19 2:02,B,-33.357,-71.63,-33.357,-71.63,2,0,-131,150,3,8,401621707,0.124,6758,306497,149,79,5073,2/4/19 2:00,1,114,180,1,0,9,14,19,1
